id,name,state,zipcode,USNewsRank
463,Virginia Military Institute,VA,24450-,
464,Washington and Jefferson College,PA,15301-,
465,Florida A&M Univ.,FL,32307-,
466,Florida Atlantic Univ.,FL,33431-,
467,Concordia College Moorhead (MN) (137),MN,56560-,
468,Longwood Univ.,VA,23909,
469,Fort Lewis College,CO,81301,
470,Wofford College,SC,29303-,
471,Hamline Univ.,MN,55104-,
472,Minnesota State Univ.-Mankato,MN,56001-,
473,Marietta College (OH),OH,45750,
474,Cornell College,IA,52314,
475,South Dakota Mines & Tech,SD,57701,
476,Grambling State Univ.,LA,71245,
477,New York Univ.   Polytechnic Institute,NY,11201-,
478,Ohio Wesleyan Univ.,OH,43015-,
479,Doane College,NE,68333-,
480,Loyola Univ. New Orleans,LA,70118-,
481,St. Bonaventure Univ,NY,14778,
482,Alfred Univ.,NY,14802,
483,Washington College (93),MD,21620,
484,SUNY Coll. at Brockport,NY,14420-,
485,Randolph College,VA,23005-,
486,Bowling Green State Univ.,OH,43403-,
487,Indiana-Purdue at Fort Wayne,IN,46805-,
488,Wisconsin-Univ. of   Oshkosh,WI,54901-,
489,Wichita State Univ.,KS,67208-,
490,Loyola Marymount Univ.,CA,90045-,
491,Cal State Univ.-San Marcos,CA,92096-,
492,Southeastern Louisiana Univ.,LA,70402,
493,Westminster College (Utah),UT,84105,
494,Hillsdale College,MI,49242-,
495,Barnard College (NY),NY,10027-,
496,Austin College,TX,75090-,
497,CUNY   Lehman College,NY,10468,
498,Scranton-Univ. of ,PA,18510-,
499,Augustana College (South Dakota),SD,57197-,
500,Lake Forrest College (105),IL,60045-,
501,Linfield College,OR,97128-,
502,Drake Univ.,IA,50311,
503,Ripon College,WI,54971-,
504,Rhode Island-Univ. of ,RI,02881-,
505,South Carolina State Univ.,SC,29117-,
506,Eckerd College,FL,33733-,
507,Tuskegee Univ.,AL,36088-,
508,Nebraska Wesleyan Univ.,NE,68504-,
509,Texas A & M Univ.-Commerce,TX,75428-,
510,Mount Union-Univ. of ,OH,44601,
511,Centenary College of Louisiana,LA,71104,
512,Connecticut College,CT,06320-,
513,Iona College,NY,10801-,
514,Manhattanville College,NY,10577-,
515,Edinboro Univ.,PA,16444-,
516,Loyola College in Maryland,MD,21210-,
517,Akron-Univ. of,OH,44325-,
518,Wright State Univ.,OH,45435-,
519,Dayton-Univ. of,OH,45469-,
520,Colorado_ Univ. of   Denver,CO,80217-,
521,Azusa Pacific Univ.,CA,91702-,
522,San Diego-Univ. of,CA,92110-,
523,La Sierra Univ.,CA,92515-,
524,Puerto Rico- Univ. of   Mayaguez,Puerto Rico,680,
525,Central Connecticut State,CT,6050,
526,North Carolina Central Univ.,NC,27701,
527,Jacksonville Univ.,FL,32211,
528,Minnesota_Univ. of   Duluth,MN,55812,
529,South Dakota-Univ. of,SD,57069,
530,Benedictine Univ. (IL),IL,60532,
531,Saint Louis Univ.,MO,63103,
532,Redlands-Univ. of,CA,92373,
533,Tennessee-Univ. of   Chattanooga,TN,37403-,
534,Hastings College,NE,68901-,
535,Texas-Univ. of   Pan American,TX,78539-,
536,St. Vincent College,PA,15650-,
537,Gonzaga Univ.,WA,99258-,
538,Roberts Wesleyan College,NY,14624-,
539,Stetson Univ.,FL,32723-,
540,Centre College,KY,40422-,
541,Monmouth College,IL,61462-,
542,Southern Illinois Univ.-Edwardsville,IL,62026-,
543,Tennessee Tech Univ.,TN,38505-,
544,Jackson State Univ.,MS,39217-,
545,Central Michigan Univ.,MI,48859-,
546,Prairie View A & M Univ.,TX,77445-,
547,Walla Walla Univ.,WA,99324-,
548,Baker Univ.,KS,66006,
549,CUNY xCenter   Brooklyn College,NY,11210-,
550,Portland-Univ. of,OR,97203-,
551,SUNY Coll. at New Paltz,NY,12561,
552,East Stroudsburg Univ.,PA,18301,
553,Northern Michigan Univ.,MI,49855,
554,Pittsburgh State Univ.,KS,66762,
555,Southwestern OK State Univ.,OK,73096,
556,Elmhurst College,IL,60126-,
557,Lycoming College,PA,17701,
558,Manchester Univ.,IN,46962,
559,Samford Univ.,AL,35229-,
560,Coastal Carolina Univ.,SC,29528-,
561,Spelman Univ.,GA,30314-,
562,New College of Florida,FL,33580-,
563,Berea College,KY,40404-,
564,Thomas More College,KY,41017-,
565,Otterbein College,OH,43081-,
566,Southern Illinois Univ. - Carbondale,IL,62901-,
567,Ouachita Baptist Univ,AR,71998-,
568,Oklahoma Baptist Univ.,OK,74804-,
569,Southern Methodist Univ.,TX,75275-,
570,Texas A & M Univ.-Kingsville,TX,78363-,
571,Hope College,MI,49423-,
572,Oklahoma City Univ.,OK,73106-,
573,McDaniel College,MD,21157,
574,Wagner College,NY,10301-,
575,Adelphi Univ.,NY,11530-,
576,Wartburg College,IA,50677-,
577,New Orleans-Univ. of,LA,70148-,
578,West Texas A&M Univ.,TX,79016-,
579,Susquehanna Univ.,PA,17870,
580,Catholic Univ. of America,DC,20064,
581,Lenoir-Rhyne Univ.,NC,28601,
582,Canisius College,NY,14208-    ,
583,Morgan State Univ.,MD,21251-,
584,Emory & Henry College,VA,24327-,
585,Purdue Univ.-Calumet,IN,46323-,
586,North Dakota-Univ. of,ND,58202-,
587,Western Illinois Univ.,IL,61455-,
588,Bradley Univ.,IL,61625-,
589,Cal State Univ.-Dominguez Hills,CA,90747-,
590,Cal Lutheran Univ.,CA,91360-,
591,Pacific-Univ. of the,CA,95211-,
592,Southern Oregon Univ.,OR,97520-,
593,Evergreen State College,WA,98505-,
594,Suffolk Univ.,MA,2108,
595,Fairfield Univ.,CT,6824,
596,California Univ. of Pennsylvania,PA,15419,
597,Howard Univ.,DC,20059,
598,Ohio Northern Univ.,OH,45810,
599,Indianapolis-Univ. of,IN,46227,
600,Adrian College,MI,49221,
601,Washburn Univ. of Topeka,KS,66621,
602,Arkansas State Univ.,AR,72401,
603,Norwich Univ.,VT,5663,
